Date	App Name	App Apple Identifier	Download Type	App Version	Device	Platform Version	Source Type	Page Type	Pre-Order	Territory	Counts
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.7	App referrer	No page		US	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	Desktop	macOS 13.0	Unavailable	Product page		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.1	App Store search	Product page		AU	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.3	Web referrer	Product page		MG	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.7	Web referrer	Product page		TT	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App Store search	Product page		AT	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.6	App Store search	Product page		JP	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	App Store search	No page		NL	7
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.5	iPhone	iOS 15.8	App Store search	No page		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	App Store browse	Product page		GB	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Redownload	6.1.7	iPhone	iOS 18.5	App Store browse	No page		BR	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 15.7	App Store search	No page		AU	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.6	Web referrer	Product page		IE	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 15.8	App Store search	Product page		JP	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.7	App referrer	Store sheet		AZ	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.6	iPad	iOS 16.3	App Store search	No page		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.7	App Store search	No page		IE	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	App referrer	Store sheet		HU	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App Store search	No page		HR	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App referrer	Store sheet		ZA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	Web referrer	Product page		MY	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.4	App Store search	Product page		PL	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.0	App Store search	No page		IN	8
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.4	Web referrer	Product page		PK	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.6	App referrer	Store sheet		JP	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Restore	6.1.7	iPhone	iOS 18.5	App Store search	No page		AT	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.1	App Store search	No page		NG	8
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.7	App Store search	No page		GR	2
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.3	Web referrer	Product page		US	6
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.5	App referrer	No page		SA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	App Store search	Product page		GH	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 16.2	App Store search	No page		GB	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.0	Web referrer	Product page		PL	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.7	App Store search	Product page		TR	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	App Store search	No page		NZ	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.1	App Store search	No page		SA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.6	App Store search	No page		CA	5
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.7	Web referrer	Product page		SE	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.5	iPhone	iOS 18.2	App Store search	No page		NZ	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	First-time download	6.1.7	iPhone	iOS 18.2	App Store search	No page		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.2	Web referrer	Product page		VN	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 17.6	App Store search	Product page		SE	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	App Store search	No page		TW	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.5	Web referrer	Product page		UA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 16.7	App referrer	Store sheet		GB	3
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPad	iOS 18.3	Web referrer	Product page		US	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.6	App Store search	No page		NZ	2
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 18.4	App Store search	No page		LT	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Restore	6.1.7	iPhone	iOS 18.5	App Store search	No page		GB	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.0	App Store search	No page		JP	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.0	Web referrer	Product page		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 17.7	App Store search	Product page		UA	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Manual update	6.1.7	iPhone	iOS 16.5	Web referrer	Product page		US	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 15.8	App Store browse	No page		CO	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 16.7	App Store search	No page		IQ	1
2025-08-19	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.6	iPhone	iOS 15.4	Web referrer	Product page		GB	1
2025-08-20	Bitrue - Buy BTC XRP & Crypto	1435877386	Auto-update	6.1.7	iPhone	iOS 17.2	App Store search	No page		AT	1
